timestamp,token.symbol,value,type,token.exchange_rate,from.hash,to.hash,usd_volume,date
2023-02-21,ETH-X,54.12963353010704,token_transfer,0.737748782354144,0xFrom043,0xTo040,39.934071226112515,2023-02-21
2023-04-03,BTC-Y,70.90605194509165,token_burning,2.029438282952558,0xFrom042,0xTo003,143.89945631039168,2023-04-03
2023-01-15,USD-ST,87.09691237460856,token_burning,1.8421105677198288,0xFrom046,0xTo014,160.44214270103436,2023-01-15
2023-03-13,BTC-Y,71.40869321324278,token_minting,1.3706484429104724,0xFrom046,0xTo024,97.87621416300284,2023-03-13
2023-03-02,ETH-X,80.17280830697918,token_minting,1.598619542960208,0xFrom047,0xTo043,128.1658181735394,2023-03-02
2023-01-21,USD-ST,33.94501925428061,token_minting,1.123968040652837,0xFrom041,0xTo034,38.1531167811566,2023-01-21
2023-03-24,USD-ST,81.48251137465122,token_minting,1.4650008404707213,0xFrom011,0xTo013,119.37194764752915,2023-03-24
2023-03-28,ETH-X,8.011484638467515,token_minting,1.5133452979654916,0xFrom012,0xTo048,12.12414260734758,2023-03-28
2023-03-16,ETH-X,89.48166560605276,token_minting,1.2744745423561918,0xFrom003,0xTo018,114.04210482254388,2023-03-16
2023-03-16,ETH-X,54.75923761537362,token_minting,2.3131444213443255,0xFrom038,0xTo037,126.66602500706983,2023-03-16
2023-03-29,BTC-Y,81.72977699624937,token_transfer,0.5321237299620123,0xFrom001,0xTo035,43.490353784207684,2023-03-29
2023-04-10,BTC-Y,45.23182845183001,token_transfer,2.064342526182492,0xFrom025,0xTo006,93.37398701010389,2023-04-10
2023-01-24,USD-ST,64.35776951965249,token_transfer,0.7487656624826486,0xFrom026,0xTo029,48.18888793028821,2023-01-24
2023-01-03,ETH-X,52.640266093611324,token_transfer,2.095094721074399,0xFrom026,0xTo018,110.28634360867676,2023-01-03
2023-01-22,USD-ST,73.15895217553319,token_minting,1.7318238313534424,0xFrom014,0xTo048,126.69841685443515,2023-01-22
2023-02-22,USD-ST,8.162998203058958,token_transfer,2.1865561818728048,0xFrom007,0xTo024,17.84885418351516,2023-02-22
2023-01-02,USD-ST,6.03520839905638,token_minting,0.6950286512817949,0xFrom006,0xTo015,4.194642753800716,2023-01-02
2023-03-29,USD-ST,24.710323401014644,token_transfer,1.617961268199548,0xFrom046,0xTo046,39.98034618752663,2023-03-29
2023-01-30,ETH-X,15.954468011318834,token_burning,1.5021757605243942,0xFrom045,0xTo039,23.966415118664987,2023-01-30
2023-02-07,USD-ST,87.17835665922017,token_transfer,1.9123863659267173,0xFrom039,0xTo007,166.7187006789893,2023-02-07
2023-01-02,ETH-X,21.92139873580443,token_transfer,1.5685811037873516,0xFrom011,0xTo017,34.38549182557077,2023-01-02
2023-03-05,ETH-X,97.58652558191314,token_minting,1.5814691342662084,0xFrom012,0xTo027,154.33007812807537,2023-03-05
2023-03-01,BTC-Y,33.68957917711069,token_transfer,1.3591918871521294,0xFrom042,0xTo015,45.79060269909816,2023-03-01
2023-01-21,ETH-X,18.211791568869927,token_burning,1.1176688480146817,0xFrom016,0xTo018,20.354752103062342,2023-01-21
2023-02-02,BTC-Y,78.96985071424791,token_minting,1.4645287225043844,0xFrom016,0xTo041,115.65361458289944,2023-02-02
2023-03-17,ETH-X,65.87077755008761,token_minting,0.7369847175368012,0xFrom035,0xTo016,48.54575638668078,2023-03-17
2023-02-27,ETH-X,49.8195716453139,token_transfer,2.4230266779661696,0xFrom020,0xTo044,120.71415118144252,2023-02-27
2023-01-22,ETH-X,55.53635509376312,token_minting,1.9288215272531966,0xFrom007,0xTo012,107.11971725002802,2023-01-22
2023-03-30,BTC-Y,71.92017782722638,token_minting,2.404934233375694,0xFrom004,0xTo006,172.96329772716425,2023-03-30
2023-02-18,BTC-Y,22.845474133129873,token_minting,0.9534547646599265,0xFrom025,0xTo026,21.782126163147783,2023-02-18
2023-04-01,USD-ST,99.63339160567419,token_minting,2.2586820403530563,0xFrom015,0xTo009,225.04015223919924,2023-04-01
2023-02-28,BTC-Y,97.4793162146783,token_minting,2.117579969127077,0xFrom035,0xTo033,206.42024742040707,2023-02-28
2023-02-11,BTC-Y,65.03256863469369,token_minting,1.8543048249153473,0xFrom027,0xTo035,120.590205795951,2023-02-11
2023-04-02,BTC-Y,19.954245092914512,token_burning,1.7500583721704115,0xFrom028,0xTo024,34.921093685195395,2023-04-02
2023-03-01,BTC-Y,68.02282424312914,token_transfer,1.13309933053574,0xFrom046,0xTo005,77.07661661103992,2023-03-01
2023-03-21,USD-ST,7.219840897917584,token_burning,2.1328215699300612,0xFrom011,0xTo023,15.398632398541846,2023-03-21
2023-01-15,BTC-Y,3.0652502205806065,token_minting,1.5030309229594676,0xFrom036,0xTo017,4.607165868140981,2023-01-15
